"Path","From","To","Action"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\link.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\link.delete.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\link.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\link.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\rc.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\rc.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\rc.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\SboSoundData.write.1u.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\SboSoundData.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Debug\SboSvr.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Debug\SboSvr.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.tlog\CL.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.tlog\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\Release\SboSvr.tlog\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\SboSvr.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSvr\SboSvr.vcxproj.user.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Debug\MakeFileList.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Debug\MakeFileList.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\MakeFileList.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
